key,type,doi,title_local,year_local,first_author,status,title_sim,year_remote,author_remote,issue,suggestion
Aria2017,article,10.1016/j.joi.2017.08.007,bibliometrix: An {R}-tool for comprehensive science mapping analysis,2017,Aria,doi_ok,1.00,2017,Aria,,
Donthu2021,article,10.1016/j.jbusres.2021.04.070,How to conduct a bibliometric analysis: An overview and guidelines,2021,Donthu,doi_ok,1.00,2021,Donthu,,
Zupic2015,article,10.1177/1094428114562629,Bibliometric methods in management and organization,2015,Zupic,doi_ok,1.00,2015,Zupic,,
Cobo2011,article,10.1002/asi.21525,"Science mapping software tools: Review, analysis, and cooperative study among to",2011,Cobo,doi_ok,1.00,2011,Cobo,,
Pritchard1969,article,,Statistical bibliography or bibliometrics,1969,Pritchard,no_doi,,,,,top result: 10.1017/s0021911800057697 sim=0.46
Small1973,article,10.1002/asi.4630240406,Co-citation in the scientific literature: A new measure of the relationship betw,1973,Small,doi_ok,1.00,1973,Small,,
vanEck2010,article,10.1007/s11192-009-0146-3,"Software survey: {VOSviewer}, a computer program for bibliometric mapping",2010,van Eck,doi_ok,1.00,2010,van Eck,,
vanEck2014,incollection,10.1007/978-3-319-10377-8_13,Visualizing bibliometric networks,2014,van Eck,doi_ok,1.00,2014,van Eck,,
vanEck2017,article,10.1007/s11192-017-2300-7,Citation-based clustering of publications using {CitNetExplorer} and {VOSviewer},2017,van Eck,doi_ok,1.00,2017,van Eck,,
Waltman2010,article,10.1016/j.joi.2010.07.002,A unified approach to mapping and clustering of bibliometric networks,2010,Waltman,doi_ok,1.00,2010,Waltman,,
Blondel2008,article,10.1088/1742-5468/2008/10/P10008,Fast unfolding of communities in large networks,2008,Blondel,doi_ok,1.00,2008,Blondel,,
Hubert1985,article,10.1007/BF01908075,Comparing partitions,1985,Hubert,doi_ok,1.00,1985,Hubert,,
Newman2006,article,10.1073/pnas.0601602103,Modularity and community structure in networks,2006,Newman,doi_ok,1.00,2006,Newman,,
Hagberg2008,inproceedings,10.25080/TCWV9851,"Exploring network structure, dynamics, and function using {NetworkX}",2008,Hagberg,doi_ok,1.00,2008,Hagberg,,
Pedregosa2011,article,,Scikit-learn: Machine learning in {Python},2011,Pedregosa,no_doi,,,,,top result: 10.3389/fninf.2014.00014 sim=0.51
