model,cluster_id,metric,value,lat_s,model_name
anthropic__claude-haiku-4-5,1,cosine_to_expert,0.5193,,Модельно-компаративні дослідження ПОВ
anthropic__claude-haiku-4-5,2,cosine_to_expert,0.7482,,Оцінювання результатів у школах
anthropic__claude-haiku-4-5,3,cosine_to_expert,0.8361,,Компетентність педагогів і виробничої практики
anthropic__claude-haiku-4-5,4,cosine_to_expert,0.6371,,Проблемна грамотність і навички
anthropic__claude-opus-4-7,1,cosine_to_expert,0.7548,,Системи ПОН та країнові моделі
anthropic__claude-opus-4-7,2,cosine_to_expert,0.8811,,Оцінювання навчальних досягнень
anthropic__claude-opus-4-7,3,cosine_to_expert,0.8114,,Професійні компетентності викладачів
anthropic__claude-opus-4-7,4,cosine_to_expert,0.7018,,"Навички, знання, розв'язання проблем"
anthropic__claude-sonnet-4-6,1,cosine_to_expert,0.9245,,Порівняльна системна політика ПТО
anthropic__claude-sonnet-4-6,2,cosine_to_expert,0.9004,,Емпіричне оцінювання навчальних результатів
anthropic__claude-sonnet-4-6,3,cosine_to_expert,0.8124,,Педагогічна компетентність і контекстне навчання
anthropic__claude-sonnet-4-6,4,cosine_to_expert,0.8584,,Когнітивні навички та проблемне навчання
deepseek__deepseek-v4-flash_cloud,1,cosine_to_expert,0.2382,24.27,Моделі та розвиток професійної освіти
deepseek__deepseek-v4-flash_cloud,2,cosine_to_expert,0.7971,17.05,Оцінювання успішності учнів
deepseek__deepseek-v4-flash_cloud,3,cosine_to_expert,0.8534,15.63,Компетентність вчителя та практичне навчання
deepseek__deepseek-v4-flash_cloud,4,cosine_to_expert,0.7199,20.03,Моніторинг навичок і знань
deepseek__deepseek-v4-pro_cloud,1,cosine_to_expert,0.1522,47.2,Німецька модель професійної освіти
deepseek__deepseek-v4-pro_cloud,2,cosine_to_expert,0.8623,18.65,Оцінювання результатів навчання учнів
deepseek__deepseek-v4-pro_cloud,3,cosine_to_expert,0.2923,,
deepseek__deepseek-v4-pro_cloud,4,cosine_to_expert,0.7542,32.04,Вимірювання навчальних результатів
google__gemma4_31b-cloud,1,cosine_to_expert,0.2165,7.27,Моделі розвитку професійної освіти
google__gemma4_31b-cloud,2,cosine_to_expert,0.8786,7.82,Оцінка успішності та результатів навчання
google__gemma4_31b-cloud,3,cosine_to_expert,0.7249,1.55,Компетенції та практика викладачів ПТО
google__gemma4_31b-cloud,4,cosine_to_expert,0.8253,4.25,Когнітивний розвиток та компетенції
minimax__minimax-m2.7_cloud,1,cosine_to_expert,0.5371,25.11,Моделі та система ВЕТ
minimax__minimax-m2.7_cloud,2,cosine_to_expert,0.7156,18.55,Оцінювання учнів і продуктивність
minimax__minimax-m2.7_cloud,3,cosine_to_expert,0.7712,53.62,Компетентність учителів у ВЕТ
