,assessment,company,competence,context,country,development,difference,effect,field,germany,group,higher education,knowledge,learning,model,order,paper,performance,practice,problem,school,skill,student,study,teacher,training,vet,work
assessment,0,16,99,78,37,156,126,100,51,27,76,23,65,125,75,28,66,108,111,38,97,77,181,252,111,205,307,133
company,16,0,28,19,16,40,34,27,11,14,10,9,19,38,29,10,24,18,25,7,30,25,39,60,16,74,74,50
competence,99,28,0,69,42,138,77,70,32,24,41,26,56,116,71,23,54,55,83,40,63,81,140,162,99,166,207,111
context,78,19,69,0,40,115,73,58,24,13,38,21,51,101,48,21,58,51,80,25,73,61,125,159,78,158,191,101
country,37,16,42,40,0,76,59,42,19,23,23,16,23,54,31,16,57,39,51,19,49,50,53,85,31,127,144,72
development,156,40,138,115,76,0,136,133,57,34,67,49,109,208,116,51,119,119,172,62,110,128,231,291,155,317,398,197
difference,126,34,77,73,59,136,0,119,34,31,77,27,60,123,83,41,74,99,99,38,111,68,178,237,97,228,298,137
effect,100,27,70,58,42,133,119,0,37,23,70,28,61,108,93,26,76,94,85,34,103,82,174,212,89,216,284,120
field,51,11,32,24,19,57,34,37,0,8,23,11,34,51,30,11,44,37,43,16,31,33,55,79,39,90,117,58
germany,27,14,24,13,23,34,31,23,8,0,11,13,7,23,27,7,21,18,19,9,31,23,32,54,8,71,77,21
group,76,10,41,38,23,67,77,70,23,11,0,14,36,59,34,18,34,53,57,24,52,37,97,142,57,121,177,74
higher education,23,9,26,21,16,49,27,28,11,13,14,0,25,42,20,7,26,16,35,12,14,29,54,58,21,55,69,44
knowledge,65,19,56,51,23,109,60,61,34,7,36,25,0,90,47,18,55,52,91,31,60,65,112,130,75,139,174,93
learning,125,38,116,101,54,208,123,108,51,23,59,42,90,0,87,38,105,95,139,44,98,107,233,245,152,245,313,185
model,75,29,71,48,31,116,83,93,30,27,34,20,47,87,0,29,68,65,65,27,72,60,122,161,62,176,214,103
order,28,10,23,21,16,51,41,26,11,7,18,7,18,38,29,0,33,32,38,12,25,23,48,65,33,66,86,45
paper,66,24,54,58,57,119,74,76,44,21,34,26,55,105,68,33,0,69,93,30,77,64,115,133,73,182,225,105
performance,108,18,55,51,39,119,99,94,37,18,53,16,52,95,65,32,69,0,87,39,78,71,159,199,71,185,263,108
practice,111,25,83,80,51,172,99,85,43,19,57,35,91,139,65,38,93,87,0,53,93,86,172,213,124,212,271,156
problem,38,7,40,25,19,62,38,34,16,9,24,12,31,44,27,12,30,39,53,0,36,40,65,73,45,85,103,61
school,97,30,63,73,49,110,111,103,31,31,52,14,60,98,72,25,77,78,93,36,0,53,195,212,114,199,286,129
skill,77,25,81,61,50,128,68,82,33,23,37,29,65,107,60,23,64,71,86,40,53,0,113,148,73,190,214,120
student,181,39,140,125,53,231,178,174,55,32,97,54,112,233,122,48,115,159,172,65,195,113,0,363,198,332,446,214
study,252,60,162,159,85,291,237,212,79,54,142,58,130,245,161,65,133,199,213,73,212,148,363,0,200,437,615,267
teacher,111,16,99,78,31,155,97,89,39,8,57,21,75,152,62,33,73,71,124,45,114,73,198,200,0,196,265,129
training,205,74,166,158,127,317,228,216,90,71,121,55,139,245,176,66,182,185,212,85,199,190,332,437,196,0,637,281
vet,307,74,207,191,144,398,298,284,117,77,177,69,174,313,214,86,225,263,271,103,286,214,446,615,265,637,0,345
work,133,50,111,101,72,197,137,120,58,21,74,44,93,185,103,45,105,108,156,61,129,120,214,267,129,281,345,0
