id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	assessment	0.6366	-0.1969	2	27	6216	473	2016.4292	13.7907	1.0468
2	company	-1.0228	-0.2161	1	27	2334	158	2019.8544	7.5759	1.0982
3	competence	0.4968	0.3382	3	27	6352	371	2016.8922	17.0431	1.1508
4	context	-0.1201	0.8578	3	27	4437	280	2019.0893	8.8607	1.0124
5	country	-0.6326	-0.2852	1	27	3049	250	2016.364	14.352	1.1417
6	development	-0.2033	0.5807	1	27	8461	574	2018.1551	12.2491	1.1394
7	difference	0.1856	-0.8406	2	27	2956	208	2016.851	15.7885	1.2124
8	effect	-0.1259	-0.9861	2	27	3881	336	2017.6488	15.878	1.372
9	field	-0.6959	0.4575	1	27	2230	151	2018.0927	10.1854	0.9365
10	germany	-0.8354	-0.5203	1	27	1769	120	2017.7083	16.3083	1.2754
11	group	0.4546	-0.9072	2	27	3696	296	2016.6014	10.6959	0.8897
12	higher education	-0.7888	-0.0476	1	27	1510	112	2018.7321	13.3304	1.115
13	knowledge	0.7913	0.3825	4	27	4652	312	2018.0897	11.1122	1.0328
14	learning	0.2021	0.8118	3	27	5148	342	2017.3538	13.0789	1.0378
15	model	-0.3322	0.3009	1	27	5371	380	2017.9763	14.3395	1.1386
16	order	-0.5246	0.5215	1	27	1791	115	2016.5217	9.9217	0.8449
17	paper	-0.5289	0.1915	1	27	4295	296	2017.6115	9.5507	0.8177
18	performance	0.7518	-0.6233	2	27	4982	353	2017.6742	11.289	1.0412
19	practice	0.2199	0.3818	3	27	6109	423	2016.5154	11.6076	0.9195
20	problem	0.9421	0.0515	4	27	3324	198	2016.4747	11.8283	0.9831
21	school	-0.1458	-0.5941	2	27	6761	512	2017.6055	10.8184	0.9978
22	skill	0.7248	-0.009	4	27	5910	375	2017.6293	11.5787	1.1623
23	student	0.3668	-0.4821	2	27	14844	1161	2018.2653	11.1886	1.0047
24	study	0.1278	-0.2549	2	27	14924	1188	2018.1869	12.0715	1.1185
25	teacher	0.4978	0.8354	3	27	8600	593	2018.2411	10.9848	0.9595
26	training	-0.3858	-0.1158	1	27	13158	965	2018	11.2041	1.0169
27	vet	-0.1351	-0.2387	1	27	17857	1448	2018.0131	11.6609	1.0611
28	work	0.0794	0.6066	3	27	4633	329	2017.6596	14.155	1.074
