term,occurrences_python,occurrences_vos
vet,917,1448.0
education,704,
training,667,965.0
study,661,1188.0
student,485,1161.0
results,471,
based,446,
development,443,574.0
work,388,329.0
quality,386,
learning,352,342.0
assessment,339,473.0
research,328,
difference,324,208.0
effect,311,336.0
practice,308,423.0
data,302,
analysis,300,
educational,294,
school,292,512.0
teacher,288,593.0
performance,285,353.0
using,270,
evaluation,243,
paper,242,296.0
used,240,
model,232,380.0
skill,229,375.0
competence,224,371.0
well,219,
findings,215,
approach,213,
two,207,
context,206,280.0
level,200,
system,197,
methods,196,
knowledge,189,312.0
professional,189,
group,186,296.0
new,184,
design,183,
process,182,
one,181,
use,178,
higher education,172,112.0
among,170,
social,169,
related,168,
high,167,
support,166,
important,161,
self,155,
aim,154,
within,154,
country,153,250.0
secondary,149,
needs,143,
three,142,
role,138,
conducted,136,
general,136,
show,134,
impact,134,
factors,134,
european,131,
significant,129,
implementation,129,
time,128,
specific,128,
future,127,
provide,125,
positive,122,
questionnaire,122,
levels,121,
framework,120,
found,120,
outcomes,120,
field,119,151.0
purpose,119,
survey,118,
first,118,
systems,117,
case,117,
institutions,116,
processes,116,
present,113,
problem,113,198.0
aims,112,
market,112,
experience,111,
improve,109,
analyses,108,
key,107,
main,106,
evidence,106,
content,106,
policy,105,
current,105,
showed,105,
background,104,
implications,103,
literature,103,
method,103,
conclusions,103,
management,102,
four,101,
importance,101,
years,101,
national,101,
methodology,100,
activities,100,
order,92,115.0
company,81,158.0
germany,80,120.0
